F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  7937  8847  8844  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
1 S     0  8965     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:2
4 S     0  8992  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7460  9023  8992  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7460  9024  9023  0  80   0 -  6008 n_tty_ pts/16   00:00:00 bash
4 S     0  9269  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7460  9296  9269  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7460  9297  9296  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0  9309  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  3777  9340  9309  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  3777  9341  9340  0  80   0 -  6004 wait   pts/14   00:00:00 bash
1 S     0  9368     2  0  80   0 -     0 worker ?        00:00:00 kworker/2:0
0 S  8110  9471  7115  0  80   0 -  1364 n_tty_ pts/2    00:00:00 pico
4 S     0  9485  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  8110  9513  9485  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  8110  9514  9513  0  80   0 -  6013 n_tty_ pts/23   00:00:00 bash
1 S     0  9758     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:0
1 S     0  9871     2  0  80   0 -     0 worker ?        00:00:00 kworker/2:2
4 S     0  9873  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
4 S     0  9878  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8271  9905  9878  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8271  9906  9905  0  80   0 -  5136 wait   pts/24   00:00:00 bash
5 S  8271 10057  9873  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8271 10058 10057  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
0 T  8271 10081  9906  0  80   0 -  1232 signal pts/24   00:00:00 pico
4 S     0 10150  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 T  8271 10152  9906  0  80   0 -  1397 signal pts/24   00:00:00 pico
5 S  7945 10196 10150  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7945 10197 10196  0  80   0 -  5976 n_tty_ pts/7    00:00:00 bash
4 S     0 10328  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7597 10359 10328  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7597 10360 10359  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0 10459  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
4 S     0 10466  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7597 10490 10459  0  80   0 -  7951 poll_s ?        00:00:05 sshd
0 S  7597 10491 10490  0  80   0 -  5993 n_tty_ pts/21   00:00:00 bash
5 S  3648 10503 10466  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  3648 10504 10503  0  80   0 -  5994 n_tty_ pts/8    00:00:00 bash
0 T  8271 10746  9906  0  80   0 -  1397 signal pts/24   00:00:00 pico
4 S     0 10825  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8176 10856 10825  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8176 10857 10856  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0 10870  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8176 10901 10870  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8176 10902 10901  0  80   0 -  5146 n_tty_ pts/13   00:00:00 bash
4 S     0 11025  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  6525 11056 11025  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  6525 11057 11056  0  80   0 -  5994 n_tty_ pts/25   00:00:00 bash
4 S     0 11307  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  6525 11334 11307  0  80   0 -  7918 poll_s ?        00:00:00 sshd
