F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0 18557  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  6398 18588 18557  0  80   0 -  7918 poll_s ?        00:00:11 sshd
0 S  6398 18589 18588  0  80   0 -  5122 n_tty_ pts/17   00:00:00 bash
0 S  7751 18975 18104  0  80   0 -   878 n_tty_ pts/7    00:00:00 LibMgt
1 S  3312 21408     1  0  80   0 -   501 hrtime ?        00:00:06 a.out
1 S     0 22707     2  0  80   0 -     0 bdi_wr ?        00:00:00 flush-0:25
4 S     0 22815  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  4712 22842 22815  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  4712 22843 22842  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
4 S     0 22912  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  6920 22954 22912  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  6920 22955 22954  0  80   0 -  5996 n_tty_ pts/14   00:00:00 bash
4 S     0 23202  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  6920 23230 23202  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  6920 23231 23230  0  80   0 -  5996 wait   pts/22   00:00:00 bash
4 S     0 23536  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  4885 23568 23536  0  80   0 -  7918 poll_s ?        00:00:00 sshd
4 S     0 23569  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  4885 23587 23568  0  80   0 -  6004 n_tty_ pts/23   00:00:00 bash
5 S  4885 23599 23569  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  4885 23600 23599  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
1 S  4232 24029     1  0  80   0 -  1015 poll_s ?        00:04:46 tmux
0 S  4232 24030 24029  0  80   0 -  6017 n_tty_ pts/6    00:00:00 bash
4 S     0 24357  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8190 24388 24357  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8190 24389 24388  0  80   0 -  5976 wait   pts/20   00:00:00 bash
0 S  7496 24520 12634  0  80   0 -  5182 n_tty_ pts/9    00:00:01 bash
4 S     0 24635  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8190 24662 24635  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8190 24663 24662  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
1 R  6343 24745     1 98  80   0 -   505 ?      ?        04:42:55 a.out
1 R  6343 24766     1 98  80   0 -   505 ?      ?        04:42:36 a.out
1 S  7496 25809     1  0  80   0 -  4851 poll_s ?        00:00:13 screen
1 S     0 25840     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:0
4 S     0 25965  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7281 25996 25965  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7281 25997 25996  0  80   0 -  6002 wait   pts/34   00:00:00 bash
0 S  7496 26250 25809  0  80   0 -  5189 n_tty_ pts/28   00:00:01 bash
0 S  7281 26688 25997  0  80   0 -  1331 n_tty_ pts/34   00:00:00 pico
4 S     0 26745  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8021 26776 26745  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8021 26777 26776  0  80   0 -  5976 n_tty_ pts/24   00:00:00 bash
0 T  6398 27411 18589  0  80   0 -   879 signal pts/17   00:00:00 a.out
5 R     0 27705     1  0  90  10 - 15901 ?      ?        00:41:19 python
0 T  7831 27791     1  0  80   0 - 41246 signal ?        00:00:00 ghc
4 S     0 27827  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7496 27865 25809  0  80   0 -  5143 wait   pts/4    00:00:00 bash
5 S  8250 27866 27827  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8250 27867 27866  0  80   0 -  5994 n_tty_ pts/36   00:00:00 bash
0 T  8250 28425 27867  0  80   0 -  1397 signal pts/36   00:00:00 pico
4 S     0 28608  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7964 28656 28608  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7964 28657 28656  0  80   0 -  5976 wait   pts/8    00:00:00 bash
4 S     0 28929  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7964 28959 28929  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7964 28960 28959  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
1 S     0 29177     2  0  80   0 -     0 worker ?        00:00:00 kworker/1:0
4 S     0 29276  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
4 S     0 29279  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
4 S     0 29282  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  6556 29309 29276  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  6556 29310 29309  0  80   0 -  6002 n_tty_ pts/2    00:00:00 bash
5 S  7928 29580 29279  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7928 29581 29580  0  80   0 -  5979 n_tty_ pts/11   00:00:00 bash
5 S  4797 29847 29282  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  4797 29848 29847  0  80   0 -  6001 n_tty_ pts/13   00:00:00 bash
0 S  5937 30373     1  0  80   0 - 14776 futex_ ?        00:00:00 vi
4 S     0 30627  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  4797 30663 30627  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  4797 30664 30663  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0 31016  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8015 31047 31016  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8015 31048 31047  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0 31050  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 T  6398 31053 18589  0  80   0 -   879 signal pts/17   00:00:00 a.out
4 S     0 31059  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8083 31089 31050  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8083 31090 31089  0  80   0 -  5976 wait   pts/21   00:00:00 bash
0 T  6398 31107 18589  0  80   0 -   879 signal pts/17   00:00:00 a.out
5 S  8015 31377 31059  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8015 31378 31377  0  80   0 -  5976 wait   pts/33   00:00:00 bash
4 S     0 32091  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  3510 32151 32091  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  3510 32152 32151  0  80   0 -  6001 wait   pts/38   00:00:00 bash
4 S     0 32478  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  6639 32509 32478  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  6639 32510 32509  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0 32517  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  8270 32548 32517  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  8270 32549 32548  0  80   0 -  5989 wait   pts/39   00:00:00 bash
F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -  4153 poll_s ?        00:24:08 init
1 S     0     2     0  0  80   0 -     0 kthrea ?        00:00:02 kthreadd
